date,FieldID,ET
2006-01-01,WC1,23.00574437529918
2006-01-01,WC2,23.53311220889202
2006-01-01,WC3,22.71107268908163
2006-01-01,WC6,23.913526008134713
2006-01-01,WC4,18.057331236479346
2006-01-01,WC5,22.014150134354807
2006-01-01,WC26,20.45365486058779
2006-01-01,SW4,16.539124226765985
2006-01-01,NW6,
2006-01-01,NW7,
2006-01-01,NB1,
2006-01-01,WC20,17.039539214718047
2006-01-01,WC19,20.246838719743547
2006-01-01,SW3,28.647024104462396
2006-01-01,WC18,24.767670289375168
2006-01-01,WC17,19.072420165900184
2006-01-01,SW5,15.124276399765407
2006-01-01,SW6,20.117322757126985
2006-01-01,WC12,17.16657110658574
2006-01-01,WC8,24.013845027401604
2006-01-01,WC11,17.47816066563581
2006-01-01,WC25,22.428618879018536
2006-01-01,WC16,23.97531270337341
2006-01-01,WC15,18.453106191832287
2006-01-01,NW1,15.184879957489983
2006-01-01,NW2,15.725550095573917
2006-01-01,NW3,14.644906991217761
2006-01-01,NW4,14.240010975976784
2006-01-01,NW5,15.68307659267069
2006-01-01,WC23,23.006727140115704
2006-01-01,WC22,25.107172258771154
2006-01-01,WC24,23.828295991245255
2006-01-01,NC2,23.714526260544417
2006-01-01,NC1,15.638967985699427
2006-01-01,WC21,16.90266060085353
2006-01-01,WC13,17.148433993136507
2006-01-01,WC9,18.509080894393666
2006-01-01,SW1,15.30964463325165
2006-01-01,SW2,15.512612707151101
2006-01-01,WC10,21.37260526433126
2006-01-01,WC14,21.416061481550518
2006-01-01,WC7,24.608307431477822
2006-01-01,WC27,19.974146816712086
2006-02-01,WC1,16.18156027370258
2006-02-01,WC2,28.834170783345083
2006-02-01,WC3,25.706778789134503
2006-02-01,WC6,28.384087659379013
2006-02-01,WC4,13.359728590308695
2006-02-01,WC5,16.363272540163518
2006-02-01,WC26,24.324595017824024
2006-02-01,SW4,15.623906807071323
2006-02-01,NW6,
2006-02-01,NW7,
2006-02-01,NB1,
2006-02-01,WC20,19.781860635731324
2006-02-01,WC19,10.237519769082922
2006-02-01,SW3,31.292117228715504
2006-02-01,WC18,23.04693719631641
2006-02-01,WC17,10.817029841979334
2006-02-01,SW5,13.459675026736114
2006-02-01,SW6,23.406860470022366
2006-02-01,WC12,19.15113980110323
2006-02-01,WC8,15.22833201440711
2006-02-01,WC11,14.034047566453129
2006-02-01,WC25,22.979795195793667
2006-02-01,WC16,22.889085954987873
2006-02-01,WC15,19.115425266433743
2006-02-01,NW1,20.043302255929667
2006-02-01,NW2,14.296348988836602
2006-02-01,NW3,14.882669643474571
2006-02-01,NW4,15.292332749128123
2006-02-01,NW5,17.283293309123565
2006-02-01,WC23,19.43215856223312
2006-02-01,WC22,18.594977486022714
2006-02-01,WC24,22.57975031678378
2006-02-01,NC2,19.351766101565207
2006-02-01,NC1,19.453562926127393
2006-02-01,WC21,11.699411259313509
2006-02-01,WC13,17.25678747773708
2006-02-01,WC9,22.04911870664244
2006-02-01,SW1,16.581077554334417
2006-02-01,SW2,14.780551003769691
2006-02-01,WC10,23.228988005885586
2006-02-01,WC14,23.3026905347375
2006-02-01,WC7,21.147075445040965
2006-02-01,WC27,18.72434096268163
2006-03-01,WC1,50.23228113648521
2006-03-01,WC2,76.15836273817922
2006-03-01,WC3,69.66849091922317
2006-03-01,WC6,71.217651896249
2006-03-01,WC4,28.35478178690352
2006-03-01,WC5,37.86285804127837
2006-03-01,WC26,65.79764519766766
2006-03-01,SW4,33.180023681312235
2006-03-01,NW6,
2006-03-01,NW7,
2006-03-01,NB1,
2006-03-01,WC20,69.93857842238182
2006-03-01,WC19,30.073452337893503
2006-03-01,SW3,61.20558745518668
2006-03-01,WC18,56.65789455338904
2006-03-01,WC17,23.866463231185797
2006-03-01,SW5,35.64217062821265
2006-03-01,SW6,53.81024710631056
2006-03-01,WC12,50.213725063761665
2006-03-01,WC8,25.914733268742918
2006-03-01,WC11,35.4846992121346
2006-03-01,WC25,34.90214203433193
2006-03-01,WC16,70.43847127562952
2006-03-01,WC15,58.7120313555092
2006-03-01,NW1,38.2588377373074
2006-03-01,NW2,31.95565195381029
2006-03-01,NW3,31.429124640659108
2006-03-01,NW4,34.42247773824067
2006-03-01,NW5,33.15414201761063
2006-03-01,WC23,31.29196496222179
2006-03-01,WC22,28.676557544866892
2006-03-01,WC24,42.224671696809125
2006-03-01,NC2,32.663940475734925
2006-03-01,NC1,30.210936320126528
2006-03-01,WC21,32.15720643952731
2006-03-01,WC13,40.79327695805159
2006-03-01,WC9,64.31382677821773
2006-03-01,SW1,25.917197082831905
2006-03-01,SW2,20.116892551843268
2006-03-01,WC10,69.46749550406493
2006-03-01,WC14,73.47791582131926
2006-03-01,WC7,62.96568239615712
2006-03-01,WC27,34.217655281476375
2006-04-01,WC1,63.62738293019454
2006-04-01,WC2,133.47561750176428
2006-04-01,WC3,138.25720532129225
2006-04-01,WC6,132.21811864243548
2006-04-01,WC4,54.66877828722468
2006-04-01,WC5,64.51978160196673
2006-04-01,WC26,129.00734873628457
2006-04-01,SW4,63.88373520462138
2006-04-01,NW6,
2006-04-01,NW7,
2006-04-01,NB1,
2006-04-01,WC20,139.16887935777876
2006-04-01,WC19,54.79504691389545
2006-04-01,SW3,140.48685476114136
2006-04-01,WC18,94.45738844311838
2006-04-01,WC17,38.14143780175067
2006-04-01,SW5,35.76439093386689
2006-04-01,SW6,115.96327862396804
2006-04-01,WC12,75.4294568892228
2006-04-01,WC8,61.52528270628873
2006-04-01,WC11,53.471121419630364
2006-04-01,WC25,71.92749874559193
2006-04-01,WC16,134.10331905398743
2006-04-01,WC15,99.61356830392523
2006-04-01,NW1,37.8781701367084
2006-04-01,NW2,38.00716586221644
2006-04-01,NW3,34.436415185671805
2006-04-01,NW4,38.97971214615754
2006-04-01,NW5,89.5876042093754
2006-04-01,WC23,89.17094725214024
2006-04-01,WC22,72.86751472893744
2006-04-01,WC24,82.69894021426103
2006-04-01,NC2,114.55042997643743
2006-04-01,NC1,37.90088445031454
2006-04-01,WC21,52.862392428062364
2006-04-01,WC13,58.64385832814471
2006-04-01,WC9,136.0437297168547
2006-04-01,SW1,50.06736889417288
2006-04-01,SW2,42.288635244545254
2006-04-01,WC10,136.32633800514247
2006-04-01,WC14,141.310096136613
2006-04-01,WC7,138.92783272110762
2006-04-01,WC27,65.9704968724849
2006-05-01,WC1,56.4986835806606
2006-05-01,WC2,168.77532815808036
2006-05-01,WC3,187.07843333380964
2006-05-01,WC6,176.3492224601228
2006-05-01,WC4,56.78409787287452
2006-05-01,WC5,63.298546395288994
2006-05-01,WC26,165.37545361744884
2006-05-01,SW4,94.69004253059201
2006-05-01,NW6,
2006-05-01,NW7,
2006-05-01,NB1,
2006-05-01,WC20,177.90668604241037
2006-05-01,WC19,66.12547959972483
2006-05-01,SW3,162.20812323297088
2006-05-01,WC18,117.96722134307443
2006-05-01,WC17,43.26759645277286
2006-05-01,SW5,75.57785214061472
2006-05-01,SW6,161.967420502651
2006-05-01,WC12,91.01579706993026
2006-05-01,WC8,69.72882383829723
2006-05-01,WC11,52.61111847433914
2006-05-01,WC25,72.30109327849276
2006-05-01,WC16,170.01067017571467
2006-05-01,WC15,131.01738792166992
2006-05-01,NW1,48.31812955895854
2006-05-01,NW2,43.22239484686348
2006-05-01,NW3,43.76789789285467
2006-05-01,NW4,48.68090003009542
2006-05-01,NW5,161.81009000566198
2006-05-01,WC23,77.504946218285
2006-05-01,WC22,62.69033080155489
2006-05-01,WC24,78.61130630111741
2006-05-01,NC2,130.26126057173474
2006-05-01,NC1,53.2710026058471
2006-05-01,WC21,64.20192537923069
2006-05-01,WC13,77.47777327290368
2006-05-01,WC9,176.11656295590558
2006-05-01,SW1,91.73632396224494
2006-05-01,SW2,48.21266840486589
2006-05-01,WC10,180.46495400026757
2006-05-01,WC14,187.32303622507877
2006-05-01,WC7,170.80895733257987
2006-05-01,WC27,54.329320983296384
2006-06-01,WC1,139.28043955734518
2006-06-01,WC2,136.81586450247
2006-06-01,WC3,154.26604318191562
2006-06-01,WC6,150.06673729598384
2006-06-01,WC4,142.3902215724927
2006-06-01,WC5,139.2935509690698
2006-06-01,WC26,110.88095581672518
2006-06-01,SW4,148.6253237679406
2006-06-01,NW6,
2006-06-01,NW7,
2006-06-01,NB1,
2006-06-01,WC20,123.22974364762491
2006-06-01,WC19,149.50713105394914
2006-06-01,SW3,123.09868401877068
2006-06-01,WC18,137.38080963700878
2006-06-01,WC17,151.89515909514185
2006-06-01,SW5,167.96154828026351
2006-06-01,SW6,112.38096142216226
2006-06-01,WC12,153.17268036141488
2006-06-01,WC8,184.1793936883834
2006-06-01,WC11,151.50258449304167
2006-06-01,WC25,97.19823888170411
2006-06-01,WC16,123.93409092534458
2006-06-01,WC15,154.74017204427352
2006-06-01,NW1,91.03327375489114
2006-06-01,NW2,91.07765490394598
2006-06-01,NW3,104.62046687148684
2006-06-01,NW4,93.62236443783524
2006-06-01,NW5,142.19650910794817
2006-06-01,WC23,93.44352388842856
2006-06-01,WC22,95.91945794646763
2006-06-01,WC24,102.04360816726191
2006-06-01,NC2,152.8549232712105
2006-06-01,NC1,167.08099269319376
2006-06-01,WC21,146.0020774940492
2006-06-01,WC13,160.54106514530636
2006-06-01,WC9,142.23097478190968
2006-06-01,SW1,104.10031752475673
2006-06-01,SW2,101.10119225398162
2006-06-01,WC10,146.97247447349255
2006-06-01,WC14,163.5740596032663
2006-06-01,WC7,139.1738061599322
2006-06-01,WC27,61.874567583976955
2006-07-01,WC1,213.43889561568997
2006-07-01,WC2,58.66215243472122
2006-07-01,WC3,61.19005329865824
2006-07-01,WC6,85.62080947124326
2006-07-01,WC4,213.00699935765388
2006-07-01,WC5,221.0879595220399
2006-07-01,WC26,75.13367752141818
2006-07-01,SW4,186.56827748925858
2006-07-01,NW6,
2006-07-01,NW7,
2006-07-01,NB1,
2006-07-01,WC20,42.90440045711709
2006-07-01,WC19,204.03721197421325
2006-07-01,SW3,68.13400273980585
2006-07-01,WC18,149.56130138657483
2006-07-01,WC17,213.76352057993424
2006-07-01,SW5,214.2537827301894
2006-07-01,SW6,88.35731263097195
2006-07-01,WC12,175.25275311888345
2006-07-01,WC8,221.33594160238448
2006-07-01,WC11,210.51803990869595
2006-07-01,WC25,83.1231934756645
2006-07-01,WC16,44.52911055646539
2006-07-01,WC15,129.2404142567745
2006-07-01,NW1,164.4427129124198
2006-07-01,NW2,158.76123975526076
2006-07-01,NW3,164.43732403410155
2006-07-01,NW4,177.32326907075964
2006-07-01,NW5,59.897167066908736
2006-07-01,WC23,54.09323108080357
2006-07-01,WC22,51.51096348368901
2006-07-01,WC24,126.01747350535658
2006-07-01,NC2,151.2787548450937
2006-07-01,NC1,190.87629502912012
2006-07-01,WC21,202.6954886688544
2006-07-01,WC13,212.12816929960474
2006-07-01,WC9,51.36567719653435
2006-07-01,SW1,137.0261124240622
2006-07-01,SW2,182.36844441933115
2006-07-01,WC10,41.67673855208598
2006-07-01,WC14,118.49323602577978
2006-07-01,WC7,108.2401949703306
2006-07-01,WC27,96.54323454245096
2006-08-01,WC1,170.35553177709568
2006-08-01,WC2,56.6050741002117
2006-08-01,WC3,59.57850477973218
2006-08-01,WC6,70.81190128688597
2006-08-01,WC4,172.25376363139657
2006-08-01,WC5,176.60079469441428
2006-08-01,WC26,129.69279075609134
2006-08-01,SW4,166.33905196393837
2006-08-01,NW6,
2006-08-01,NW7,
2006-08-01,NB1,
2006-08-01,WC20,36.888711748190595
2006-08-01,WC19,158.49169166613478
2006-08-01,SW3,59.563795214083775
2006-08-01,WC18,109.33449287890302
2006-08-01,WC17,136.0644188478674
2006-08-01,SW5,165.59606030289433
2006-08-01,SW6,134.69468939425906
2006-08-01,WC12,141.57284643824514
2006-08-01,WC8,172.4003594382114
2006-08-01,WC11,157.7141889404315
