,FieldID,Model,Metric,Yield
0,NB1,XGBoost Leave-One-Field-Out ,RMSE,1.2129603873181707
1,NB1,XGBoost Leave-One-Field-Out ,PBIAS,1.8931629887844663
2,NB1,XGBoost Leave-One-Field-Out ,NMAE,10.816323062809136
3,NC1,XGBoost Leave-One-Field-Out ,RMSE,0.8923936190580419
4,NC1,XGBoost Leave-One-Field-Out ,PBIAS,2.3661716164776183
5,NC1,XGBoost Leave-One-Field-Out ,NMAE,4.803108438531912
6,NC2,XGBoost Leave-One-Field-Out ,RMSE,1.3115114156192393
7,NC2,XGBoost Leave-One-Field-Out ,PBIAS,1.5512646112905508
8,NC2,XGBoost Leave-One-Field-Out ,NMAE,7.866479045017448
9,NW1,XGBoost Leave-One-Field-Out ,RMSE,1.6826337235941775
10,NW1,XGBoost Leave-One-Field-Out ,PBIAS,-6.489955748025862
11,NW1,XGBoost Leave-One-Field-Out ,NMAE,14.89389764386867
12,NW2,XGBoost Leave-One-Field-Out ,RMSE,2.0005474300962067
13,NW2,XGBoost Leave-One-Field-Out ,PBIAS,-1.5433764746066307
14,NW2,XGBoost Leave-One-Field-Out ,NMAE,13.611120593673796
15,NW3,XGBoost Leave-One-Field-Out ,RMSE,2.1579714798649556
16,NW3,XGBoost Leave-One-Field-Out ,PBIAS,-16.055055789699146
17,NW3,XGBoost Leave-One-Field-Out ,NMAE,16.287536191115958
18,NW4,XGBoost Leave-One-Field-Out ,RMSE,1.1908839551467718
19,NW4,XGBoost Leave-One-Field-Out ,PBIAS,1.8478981612152663
20,NW4,XGBoost Leave-One-Field-Out ,NMAE,8.13630471722557
21,NW5,XGBoost Leave-One-Field-Out ,RMSE,1.6208389903072633
22,NW5,XGBoost Leave-One-Field-Out ,PBIAS,1.2195564026643595
23,NW5,XGBoost Leave-One-Field-Out ,NMAE,10.397444153828767
24,NW6,XGBoost Leave-One-Field-Out ,RMSE,0.8766213073431434
25,NW6,XGBoost Leave-One-Field-Out ,PBIAS,5.835447234966973
26,NW6,XGBoost Leave-One-Field-Out ,NMAE,5.835447234966972
27,NW7,XGBoost Leave-One-Field-Out ,RMSE,2.2591346205883798
28,NW7,XGBoost Leave-One-Field-Out ,PBIAS,2.0387458360142903
29,NW7,XGBoost Leave-One-Field-Out ,NMAE,14.28561597587077
